Model,Horizon,Fold,Test Start,Test End,AUC,Threshold
Random Forest,5,20,2021-11-30,2022-02-21,0.6380728554641597,0.54
Random Forest,5,21,2022-02-22,2022-05-16,0.5750962772785622,0.52
Random Forest,5,22,2022-05-17,2022-08-08,0.5873192436040044,0.5
Random Forest,5,23,2022-08-09,2022-10-31,0.6746411483253589,0.5
Random Forest,5,24,2022-11-01,2023-01-23,0.5720000000000001,0.5
Random Forest,5,25,2023-01-24,2023-04-17,0.36160714285714285,0.5
Random Forest,5,26,2023-04-18,2023-07-10,0.39506172839506176,0.5
Random Forest,5,27,2023-07-11,2023-10-02,0.4922360248447205,0.54
Random Forest,5,28,2023-10-03,2023-12-25,0.5519897304236201,0.5
Random Forest,5,29,2023-12-26,2024-03-18,0.49768518518518523,0.5
Random Forest,5,30,2024-03-19,2024-06-10,0.43834841628959276,0.56
Random Forest,5,31,2024-06-11,2024-09-02,0.5352526439482961,0.5
Random Forest,5,32,2024-09-03,2024-11-25,0.33999999999999997,0.56
Random Forest,5,33,2024-11-26,2025-02-18,0.6363636363636364,0.52
Random Forest,5,34,2025-02-19,2025-05-15,0.32870370370370366,0.54
Random Forest,5,35,2025-05-16,2025-08-07,0.686602870813397,0.52
Random Forest,5,36,2025-08-08,2025-10-30,0.6137142857142857,0.5
XGBoost,5,1,2017-07-14,2017-10-05,0.47285067873303166,0.52
XGBoost,5,2,2017-10-06,2017-12-29,0.3748531139835488,0.5
XGBoost,5,3,2018-01-01,2018-03-23,0.4694104560622914,0.6
XGBoost,5,4,2018-03-26,2018-06-15,0.7579365079365079,0.58
XGBoost,5,5,2018-06-18,2018-09-07,0.328125,0.5
XGBoost,5,6,2018-09-10,2018-11-30,0.332579185520362,0.6
XGBoost,5,7,2018-12-03,2019-02-22,0.38932146829810904,0.6
XGBoost,5,8,2019-02-25,2019-05-17,0.5735294117647058,0.6
XGBoost,5,9,2019-05-20,2019-08-12,0.35578002244668916,0.5
XGBoost,5,10,2019-08-13,2019-11-04,0.5038932146829811,0.5
XGBoost,5,11,2019-11-05,2020-01-27,0.40571428571428564,0.54
XGBoost,5,12,2020-01-28,2020-04-20,0.31428571428571433,0.52
XGBoost,5,13,2020-04-21,2020-07-13,0.5502645502645502,0.54
XGBoost,5,14,2020-07-14,2020-10-05,0.4970622796709753,0.54
XGBoost,5,15,2020-10-06,2020-12-28,0.47985347985347987,0.52
XGBoost,5,16,2020-12-29,2021-03-22,0.48379629629629634,0.52
XGBoost,5,17,2021-03-23,2021-06-14,0.4054054054054054,0.6
XGBoost,5,18,2021-06-15,2021-09-06,0.48772321428571425,0.6
XGBoost,5,19,2021-09-07,2021-11-29,0.43260590500641843,0.6
XGBoost,5,20,2021-11-30,2022-02-21,0.4935370152761457,0.5
XGBoost,5,21,2022-02-22,2022-05-16,0.37612323491655963,0.54
XGBoost,5,22,2022-05-17,2022-08-08,0.28587319243604004,0.5
XGBoost,5,23,2022-08-09,2022-10-31,0.6160287081339713,0.58
XGBoost,5,24,2022-11-01,2023-01-23,0.342,0.5
XGBoost,5,25,2023-01-24,2023-04-17,0.4910714285714286,0.54
XGBoost,5,26,2023-04-18,2023-07-10,0.47250280583613913,0.5
XGBoost,5,27,2023-07-11,2023-10-02,0.36180124223602483,0.54
XGBoost,5,28,2023-10-03,2023-12-25,0.35044929396662394,0.5
XGBoost,5,29,2023-12-26,2024-03-18,0.4710648148148148,0.58
XGBoost,5,30,2024-03-19,2024-06-10,0.4332579185520362,0.52
XGBoost,5,31,2024-06-11,2024-09-02,0.48413631022326675,0.56
XGBoost,5,32,2024-09-03,2024-11-25,0.27,0.56
XGBoost,5,33,2024-11-26,2025-02-18,0.5555555555555555,0.58
XGBoost,5,34,2025-02-19,2025-05-15,0.3564814814814815,0.6
XGBoost,5,35,2025-05-16,2025-08-07,0.5598086124401913,0.5
XGBoost,5,36,2025-08-08,2025-10-30,0.4594285714285714,0.5
