Feature Set,Model,Fold,Test Start,Test End,AUC
Technical Only,XGBoost,48,2021-09-28,2021-12-20,0.5279017857142858
Technical Only,Logistic Regression,49,2021-12-21,2022-03-14,0.5169683257918551
Technical Only,Random Forest,49,2021-12-21,2022-03-14,0.5339366515837105
Technical Only,XGBoost,49,2021-12-21,2022-03-14,0.4773755656108597
Technical Only,Logistic Regression,50,2022-03-15,2022-06-06,0.5314285714285715
Technical Only,Random Forest,50,2022-03-15,2022-06-06,0.5302857142857142
Technical Only,XGBoost,50,2022-03-15,2022-06-06,0.5257142857142857
Technical Only,Logistic Regression,51,2022-06-07,2022-08-29,0.4716351501668521
Technical Only,Random Forest,51,2022-06-07,2022-08-29,0.46384872080088985
Technical Only,XGBoost,51,2022-06-07,2022-08-29,0.5672969966629589
Technical Only,Logistic Regression,52,2022-08-30,2022-11-21,0.4821428571428571
Technical Only,Random Forest,52,2022-08-30,2022-11-21,0.5334821428571428
Technical Only,XGBoost,52,2022-08-30,2022-11-21,0.453125
Technical Only,Logistic Regression,53,2022-11-22,2023-02-13,0.4988839285714286
Technical Only,Random Forest,53,2022-11-22,2023-02-13,0.5334821428571429
Technical Only,XGBoost,53,2022-11-22,2023-02-13,0.4352678571428571
Technical Only,Logistic Regression,54,2023-02-14,2023-05-08,0.5770089285714286
Technical Only,Random Forest,54,2023-02-14,2023-05-08,0.5401785714285714
Technical Only,XGBoost,54,2023-02-14,2023-05-08,0.46875
Technical Only,Logistic Regression,55,2023-05-09,2023-07-31,0.4635241301907968
Technical Only,Random Forest,55,2023-05-09,2023-07-31,0.5050505050505051
Technical Only,XGBoost,55,2023-05-09,2023-07-31,0.5701459034792368
Technical Only,Logistic Regression,56,2023-08-01,2023-10-23,0.43415178571428564
Technical Only,Random Forest,56,2023-08-01,2023-10-23,0.43191964285714285
Technical Only,XGBoost,56,2023-08-01,2023-10-23,0.37388392857142855
Technical Only,Logistic Regression,57,2023-10-24,2024-01-15,0.4894327030033371
Technical Only,Random Forest,57,2023-10-24,2024-01-15,0.5761957730812013
Technical Only,XGBoost,57,2023-10-24,2024-01-15,0.549499443826474
Technical Only,Logistic Regression,58,2024-01-16,2024-04-08,0.388327721661055
Technical Only,Random Forest,58,2024-01-16,2024-04-08,0.5712682379349046
Technical Only,XGBoost,58,2024-01-16,2024-04-08,0.6172839506172839
Technical Only,Logistic Regression,59,2024-04-09,2024-07-01,0.43526785714285715
Technical Only,Random Forest,59,2024-04-09,2024-07-01,0.5457589285714286
Technical Only,XGBoost,59,2024-04-09,2024-07-01,0.6160714285714286
Technical Only,Logistic Regression,60,2024-07-02,2024-09-23,0.4118967452300786
Technical Only,Random Forest,60,2024-07-02,2024-09-23,0.4326599326599327
Technical Only,XGBoost,60,2024-07-02,2024-09-23,0.36475869809203143
Technical Only,Logistic Regression,61,2024-09-24,2024-12-16,0.4171562867215041
Technical Only,Random Forest,61,2024-09-24,2024-12-16,0.45710928319623967
Technical Only,XGBoost,61,2024-09-24,2024-12-16,0.3607520564042303
Technical Only,Logistic Regression,62,2024-12-17,2025-03-11,0.5747767857142857
Technical Only,Random Forest,62,2024-12-17,2025-03-11,0.5558035714285715
Technical Only,XGBoost,62,2024-12-17,2025-03-11,0.46428571428571425
Technical Only,Logistic Regression,63,2025-03-12,2025-06-05,0.5267857142857143
Technical Only,Random Forest,63,2025-03-12,2025-06-05,0.5948660714285714
Technical Only,XGBoost,63,2025-03-12,2025-06-05,0.53125
Technical Only,Logistic Regression,64,2025-06-06,2025-08-28,0.4627363737486095
