date,event,canonical_event,actual,forecast,previous,surprise,surprise_available
2010-06-24,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2010-06-30,CPI Flash Estimate y/y,eu_cpi,1.4,1.5,1.6,-0.10000000000000009,1
2010-07-02,Non-Farm Employment Change,us_nfp,-125.0,-106.0,433.0,-19.0,1
2010-07-08,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2010-07-16,CPI m/m,us_cpi,-0.1,0.0,-0.2,-0.1,1
2010-07-30,CPI Flash Estimate y/y,eu_cpi,1.7,1.8,1.4,-0.10000000000000009,1
2010-08-05,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2010-08-06,Non-Farm Employment Change,us_nfp,-131.0,-63.0,-221.0,-68.0,1
2010-08-11,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2010-08-13,CPI m/m,us_cpi,0.3,0.2,-0.1,0.09999999999999998,1
2010-08-31,CPI Flash Estimate y/y,eu_cpi,1.6,1.6,1.7,0.0,1
2010-09-02,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2010-09-03,Non-Farm Employment Change,us_nfp,-54.0,-101.0,-54.0,47.0,1
2010-09-17,CPI m/m,us_cpi,0.3,0.2,0.3,0.09999999999999998,1
2010-09-22,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2010-09-30,CPI Flash Estimate y/y,eu_cpi,1.8,1.8,1.6,0.0,1
2010-10-07,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2010-10-08,Non-Farm Employment Change,us_nfp,-95.0,1.0,-57.0,-96.0,1
2010-10-15,CPI m/m,us_cpi,0.1,0.2,0.3,-0.1,1
2010-10-29,CPI Flash Estimate y/y,eu_cpi,1.9,1.7,1.8,0.19999999999999996,1
2010-11-04,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2010-11-04,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2010-11-05,Non-Farm Employment Change,us_nfp,151.0,63.0,-41.0,88.0,1
2010-11-17,CPI m/m,us_cpi,0.2,0.3,0.1,-0.09999999999999998,1
2010-11-30,CPI Flash Estimate y/y,eu_cpi,1.9,1.9,1.9,0.0,1
2010-12-02,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2010-12-03,Non-Farm Employment Change,us_nfp,39.0,143.0,172.0,-104.0,1
2010-12-15,CPI m/m,us_cpi,0.1,0.2,0.2,-0.1,1
2010-12-15,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2011-01-04,CPI Flash Estimate y/y,eu_cpi,2.2,2.0,1.9,0.20000000000000018,1
2011-01-07,Non-Farm Employment Change,us_nfp,103.0,159.0,71.0,-56.0,1
2011-01-13,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2011-01-14,CPI m/m,us_cpi,0.5,0.4,0.1,0.09999999999999998,1
2011-01-27,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2011-01-31,CPI Flash Estimate y/y,eu_cpi,2.4,2.4,2.2,0.0,1
2011-02-03,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2011-02-04,Non-Farm Employment Change,us_nfp,36.0,138.0,121.0,-102.0,1
2011-02-17,CPI m/m,us_cpi,0.4,0.3,0.5,0.10000000000000003,1
2011-03-01,CPI Flash Estimate y/y,eu_cpi,2.4,2.4,2.3,0.0,1
2011-03-03,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2011-03-04,Non-Farm Employment Change,us_nfp,192.0,191.0,63.0,1.0,1
2011-03-16,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2011-03-17,CPI m/m,us_cpi,0.5,0.5,0.4,0.0,1
2011-03-31,CPI Flash Estimate y/y,eu_cpi,2.6,2.4,2.4,0.20000000000000018,1
2011-04-01,Non-Farm Employment Change,us_nfp,216.0,191.0,194.0,25.0,1
2011-04-07,Main Refinancing Rate,ecb_rate,1.25,1.25,1.0,0.0,1
2011-04-15,CPI m/m,us_cpi,0.5,0.5,0.5,0.0,1
2011-04-28,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2011-04-29,CPI Flash Estimate y/y,eu_cpi,2.8,2.7,2.7,0.09999999999999964,1
2011-05-05,Main Refinancing Rate,ecb_rate,1.25,1.25,1.25,0.0,1
2011-05-06,Non-Farm Employment Change,us_nfp,244.0,185.0,221.0,59.0,1
2011-05-13,CPI m/m,us_cpi,0.4,0.4,0.5,0.0,1
2011-05-31,CPI Flash Estimate y/y,eu_cpi,2.7,2.8,2.8,-0.09999999999999964,1
2011-06-03,Non-Farm Employment Change,us_nfp,54.0,161.0,232.0,-107.0,1
2011-06-09,Main Refinancing Rate,ecb_rate,1.25,1.25,1.25,0.0,1
2011-06-15,CPI m/m,us_cpi,0.2,0.2,0.4,0.0,1
2011-06-23,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2011-06-30,CPI Flash Estimate y/y,eu_cpi,2.7,2.8,2.7,-0.09999999999999964,1
2011-07-07,Main Refinancing Rate,ecb_rate,1.5,1.5,1.25,0.0,1
2011-07-08,Non-Farm Employment Change,us_nfp,18.0,97.0,25.0,-79.0,1
2011-07-15,CPI m/m,us_cpi,-0.2,-0.1,0.2,-0.1,1
2011-07-29,CPI Flash Estimate y/y,eu_cpi,2.5,2.7,2.7,-0.20000000000000018,1
2011-08-04,Main Refinancing Rate,ecb_rate,1.5,1.5,1.5,0.0,1
2011-08-05,Non-Farm Employment Change,us_nfp,117.0,89.0,46.0,28.0,1
2011-08-10,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2011-08-18,CPI m/m,us_cpi,0.5,0.2,-0.2,0.3,1
2011-08-31,CPI Flash Estimate y/y,eu_cpi,2.5,2.5,2.5,0.0,1
2011-09-02,Non-Farm Employment Change,us_nfp,0.0,74.0,85.0,-74.0,1
2011-09-08,Main Refinancing Rate,ecb_rate,1.5,1.5,1.5,0.0,1
2011-09-15,CPI m/m,us_cpi,0.4,0.2,0.5,0.2,1
2011-09-22,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2011-09-30,CPI Flash Estimate y/y,eu_cpi,3.0,2.5,2.5,0.5,1
2011-10-06,Main Refinancing Rate,ecb_rate,1.5,1.5,1.5,0.0,1
2011-10-07,Non-Farm Employment Change,us_nfp,103.0,55.0,57.0,48.0,1
2011-10-19,CPI m/m,us_cpi,0.3,0.3,0.4,0.0,1
2011-10-31,CPI Flash Estimate y/y,eu_cpi,3.0,2.9,3.0,0.10000000000000009,1
2011-11-03,Main Refinancing Rate,ecb_rate,1.25,1.5,1.5,-0.25,1
2011-11-03,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2011-11-04,Non-Farm Employment Change,us_nfp,80.0,97.0,158.0,-17.0,1
2011-11-16,CPI m/m,us_cpi,-0.1,0.0,0.3,-0.1,1
2011-11-30,CPI Flash Estimate y/y,eu_cpi,3.0,3.0,3.0,0.0,1
2011-12-02,Non-Farm Employment Change,us_nfp,120.0,126.0,100.0,-6.0,1
2011-12-08,Main Refinancing Rate,ecb_rate,1.0,1.0,1.25,0.0,1
2011-12-14,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2011-12-16,CPI m/m,us_cpi,0.0,0.1,-0.1,-0.1,1
2012-01-04,CPI Flash Estimate y/y,eu_cpi,2.8,2.8,3.0,0.0,1
2012-01-06,Non-Farm Employment Change,us_nfp,200.0,152.0,100.0,48.0,1
2012-01-12,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2012-01-19,CPI m/m,us_cpi,0.0,0.1,0.0,-0.1,1
2012-01-26,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2012-02-01,CPI Flash Estimate y/y,eu_cpi,2.7,2.7,2.7,0.0,1
2012-02-03,Non-Farm Employment Change,us_nfp,243.0,150.0,203.0,93.0,1
2012-02-09,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2012-02-17,CPI m/m,us_cpi,0.2,0.3,0.0,-0.09999999999999998,1
2012-03-01,CPI Flash Estimate y/y,eu_cpi,2.7,2.6,2.6,0.10000000000000009,1
2012-03-08,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2012-03-09,Non-Farm Employment Change,us_nfp,227.0,209.0,284.0,18.0,1
2012-03-14,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2012-03-16,CPI m/m,us_cpi,0.4,0.4,0.2,0.0,1
2012-03-30,CPI Flash Estimate y/y,eu_cpi,2.6,2.5,2.7,0.10000000000000009,1
2012-04-04,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2012-04-06,Non-Farm Employment Change,us_nfp,120.0,207.0,240.0,-87.0,1
2012-04-13,CPI m/m,us_cpi,0.3,0.2,0.4,0.09999999999999998,1
2012-04-26,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2012-04-30,CPI Flash Estimate y/y,eu_cpi,2.6,2.5,2.7,0.10000000000000009,1
2012-05-03,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2012-05-04,Non-Farm Employment Change,us_nfp,115.0,173.0,154.0,-58.0,1
2012-05-15,CPI m/m,us_cpi,0.0,0.1,0.3,-0.1,1
2012-05-31,CPI Flash Estimate y/y,eu_cpi,2.4,2.5,2.6,-0.10000000000000009,1
2012-06-01,Non-Farm Employment Change,us_nfp,69.0,151.0,77.0,-82.0,1
2012-06-06,Main Refinancing Rate,ecb_rate,1.0,1.0,1.0,0.0,1
2012-06-14,CPI m/m,us_cpi,-0.3,-0.2,0.0,-0.09999999999999998,1
2012-06-21,Federal Funds Rate,us_fomc,0.25,0.25,0.25,0.0,1
2012-06-29,CPI Flash Estimate y/y,eu_cpi,2.4,2.4,2.4,0.0,1
2012-07-05,Main Refinancing Rate,ecb_rate,0.75,0.75,1.0,0.0,1
2012-07-06,Non-Farm Employment Change,us_nfp,80.0,97.0,77.0,-17.0,1
2012-07-17,CPI m/m,us_cpi,0.0,0.0,-0.3,0.0,1
